iter	Passed	Remaining
0	4	1744
1	7	1503
2	10	1417
3	13	1381
4	17	1343
5	20	1324
6	23	1306
7	26	1292
8	29	1282
9	32	1272
10	35	1263
11	38	1256
12	42	1250
13	45	1246
14	48	1242
15	51	1238
16	54	1234
17	58	1231
18	61	1225
19	64	1221
20	67	1216
21	70	1212
22	73	1210
23	77	1207
24	80	1202
25	83	1198
26	86	1194
27	89	1190
28	92	1185
29	95	1182
30	99	1179
31	102	1175
32	105	1173
33	108	1170
34	111	1166
35	114	1162
36	118	1158
37	121	1154
38	124	1151
39	127	1147
40	130	1144
41	133	1141
42	137	1137
43	140	1134
44	143	1131
45	146	1127
46	149	1124
47	152	1121
48	155	1117
49	159	1113
50	162	1110
51	165	1106
52	168	1103
53	171	1100
54	174	1096
55	177	1093
56	181	1089
57	184	1086
58	187	1083
59	190	1079
60	193	1076
61	196	1073
62	200	1070
63	203	1066
64	206	1064
65	209	1060
66	212	1057
67	215	1054
68	219	1051
69	222	1047
70	225	1044
71	228	1041
72	232	1039
73	235	1036
74	238	1033
75	241	1030
76	244	1026
77	248	1023
78	251	1021
79	254	1018
80	257	1015
81	261	1012
82	264	1009
83	267	1005
84	270	1002
85	273	999
86	276	996
87	280	992
88	283	989
89	286	986
90	289	983
91	292	980
92	295	976
93	299	973
94	302	970
95	305	968
96	309	965
97	312	962
98	315	959
99	318	956
100	321	952
101	325	949
102	328	946
103	331	943
104	334	939
105	338	938
106	341	935
107	344	931
108	347	928
109	351	925
110	354	922
111	357	918
112	360	915
113	363	912
114	366	909
115	369	905
116	373	902
117	376	899
118	379	896
119	382	893
120	385	889
121	389	886
122	392	883
123	395	880
124	398	876
125	401	873
126	404	870
127	408	867
128	411	863
129	414	860
130	417	857
131	420	854
132	423	850
133	427	847
134	430	844
135	433	841
136	436	838
137	439	835
138	442	831
139	446	828
140	449	825
141	453	823
142	456	820
143	459	816
144	462	813
145	465	810
146	468	807
147	472	804
148	475	800
149	478	797
150	481	794
151	484	791
152	488	788
153	491	784
154	494	781
155	497	778
156	500	775
157	504	772
158	507	768
159	510	765
160	513	762
161	516	759
162	519	755
163	523	752
164	526	749
165	529	746
166	532	743
167	536	740
168	539	737
169	542	734
170	546	731
